modelo;producto;sellos_detectados;tiempo_s;tokens_generados;tokens_por_seg;respuesta_modelo;correcto_manual;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Papas fritas sabor queso;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;8.09;66;8.16;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION:  Las papas fritas son alimentos procesados que suelen ser altos en sodio y grasas saturadas. | ALTERNATIVA:  Opción saludable: Palitos de zanahoria con hummus.;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Barra de cereal sin azúcar añadida;Ninguno;1.65;40;24.25;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto cumple con los requisitos del Manual de Kioscos Saludables. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Bebida gaseosa 350ml;ALTO EN AZUCARES, ALTO EN CALORIAS;2.37;63;26.56;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN CALORIAS | JUSTIFICACION: La bebida gaseosa es una opción poco saludable por su alto contenido en azúcares y calorías. | ALTERNATIVA: Agua embotellada o leche desnatada.;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Yogurt natural sin azúcar;Ninguno;1.57;38;24.19;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto cumple con los criterios de la normativa JUNAEB. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Galletas rellenas de chocolate;ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS;2.44;65;26.6;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS | JUSTIFICACION: Las galletas rellenas de chocolate contienen alto contenido en azúcares, grasas saturadas y calorías. | ALTERNATIVA:  No aplica;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Agua mineral sin gas;Ninguno;1.61;39;24.18;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto cumple con los requisitos de la normativa para kioscos escolares. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Snack de maíz frito;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;2.54;68;26.82;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION: Este snack contiene alto contenido de sodio y grasas saturadas, lo que no es saludable para los niños. | ALTERNATIVA: Un snack de frutas o granola sería una alternativa más saludable.;;;;;;;;;;;;;;;;;;;;
gemma-2-2b-it;Fruta deshidratada sin azúcar añadida;Ninguno;1.62;37;22.8;APTO: Sí | SELLOS: Ninguno | JUSTIFICACION: El producto cumple con los requisitos de la normativa JUNAEB. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Papas fritas sabor queso;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;6.16;108;17.53;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION: El producto contiene sellos de advertencia relacionados con el consumo excesivo de sodio y grasas saturadas, lo que puede ser perjudicial para la salud de los estudiantes. | ALTERNATIVA: Una alternativa más saludable podría ser papas fritas sabor queso hechas con aceite vegetal y sin aditivos artificiales.;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Barra de cereal sin azúcar añadida;Ninguno;1.33;49;36.79;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: Como no tiene sellos de advertencia, cumple con los criterios del Manual de Kioscos Saludables. | ALTERNATIVA: Ninguna;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Bebida gaseosa 350ml;ALTO EN AZUCARES, ALTO EN CALORIAS;3.02;114;37.7;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN CALORIAS | JUSTIFICACION: La bebida gaseosa contiene altos niveles de azúcares y calorías, lo que la hace inapropiada para venta escolar debido a su impacto negativo en la salud. | ALTERNATIVA: Una alternativa más saludable sería una bebida refrescante sin azúcar ni grasas saturadas, como agua con limón o un refresco natural.;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Yogurt natural sin azúcar;Ninguno;1.06;39;36.95;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: No tiene sellos de advertencia relacionadas con el contenido del producto. | ALTERNATIVA: Ninguna;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Galletas rellenas de chocolate;ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS;2.27;84;37.04;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS | JUSTIFICACION: El producto contiene alto en azúcares y grasas saturadas, lo que lo hace inapto para la venta escolar debido a su contenido calórico y nutricional. No aplica alternativa.;;;;;;;;;;;;;;;;;;;;
llama-3.2-3b-instruct;Agua mineral sin gas;Ninguno;1.31;49;37.47;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: Como no tiene sellos de advertencia, cumple con los criterios del Manual de Kioscos Saludables. | ALTERNATIVA: No aplica;;;;;;;;;;;;;;;;;;;;
