modelo;producto;sellos_detectados;tiempo_s;tokens_generados;tokens_por_seg;respuesta_modelo;correcto_manual
gemma-2-2b-it;Papas fritas sabor queso;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;17.61;57;3.24;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION:  Los productos con alto contenido en sodio y grasas saturadas no son recomendables para consumo escolar. | ALTERNATIVA: No aplica;
gemma-2-2b-it;Barra de cereal sin azúcar añadida;Ninguno;1.61;34;21.1;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto no presenta sellos de advertencia. | ALTERNATIVA: No aplica;
gemma-2-2b-it;Bebida gaseosa 350ml;ALTO EN AZUCARES, ALTO EN CALORIAS;2.39;59;24.65;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN CALORIAS | JUSTIFICACION:  Los productos con alto contenido de azúcares y calorías no son recomendables para consumo escolar. | ALTERNATIVA: Agua embotellada sin azúcar.;
gemma-2-2b-it;Yogurt natural sin azúcar;Ninguno;1.83;42;23.01;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto no presenta sellos de advertencia según el Manual de Kioscos Saludables. | ALTERNATIVA: No aplica;
gemma-2-2b-it;Galletas rellenas de chocolate;ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS;2.45;61;24.88;APTO: No | SELLOS: ALTO EN AZUCARES, ALTO EN GRASAS SATURADAS, ALTO EN CALORIAS | JUSTIFICACION: El producto contiene alto contenido de azúcares, grasas saturadas y calorías. | ALTERNATIVA:  No aplica;
gemma-2-2b-it;Agua mineral sin gas;Ninguno;1.59;34;21.32;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto no presenta sellos de advertencia. | ALTERNATIVA: No aplica;
gemma-2-2b-it;Snack de maíz frito;ALTO EN SODIO, ALTO EN GRASAS SATURADAS;2.51;65;25.92;APTO: No | SELLOS: ALTO EN SODIO, ALTO EN GRASAS SATURADAS | JUSTIFICACION:  Los productos con alto contenido en sodio y grasas saturadas no son recomendables para consumo escolar. | ALTERNATIVA:  Snack de frutas secas o un yogur natural.;
gemma-2-2b-it;Fruta deshidratada sin azúcar añadida;Ninguno;1.6;34;21.29;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto no presenta sellos de advertencia. | ALTERNATIVA: No aplica;
gemma-2-2b-it;Chocolate amargo 85% cacao;Ninguno;1.56;33;21.11;APTO: Si | SELLOS: Ninguno | JUSTIFICACION: El producto no presenta sellos de advertencia. | ALTERNATIVA: No aplica;
gemma-2-2b-it;Jugo de naranja natural envasado;ALTO EN AZUCARES;2.26;56;24.77;APTO: No | SELLOS: ALTO EN AZUCARES | JUSTIFICACION:  El producto presenta un sello de advertencia por alto contenido de azúcares. | ALTERNATIVA:  Se recomienda optar por un jugo de naranja natural sin azúcar añadido.;
