modelo;pregunta;respuesta_sin_rag;tiempo_sin_rag_s;respuesta_con_rag;tiempo_con_rag_s;fragmentos_recuperados;correcto_sin_rag_manual;correcto_con_rag_manual
gemma-2-2b-it;¿Cuál es el límite de sodio permitido en un alimento SÓLIDO para que no deba llevar el sello 'ALTO EN SODIO'?;El límite de sodio permitido en un alimento sólido para que no deba llevar el sello 'ALTO EN SODIO' según la Ley 20.606 es de **2400 mg por cada 100 gramos de producto**.  Es importante destacar que este límite puede variar según el tipo de alimento y su composición.;21.08;El límite máximo de sodio permitido en un alimento sólido para que no deba llevar el sello 'ALTO EN SODIO' es de 800 mg por cada 100 gramos.  (Fuente: 03_guia_kioscos_saludables.txt);7.37;03_guia_kioscos_saludables.txt (sim=0.7074), 03_guia_kioscos_saludables.txt (sim=0.6869), 03_guia_kioscos_saludables.txt (sim=0.6818), 02_decreto13_rsa_sellos.txt (sim=0.6783);;
gemma-2-2b-it;Un jugo envasado tiene 6 gramos de azúcar por cada 100 ml. ¿Puedo venderlo en el kiosco escolar?;La Ley de Etiquetado de Alimentos establece que los jugos con más de 10 gramos de azúcar por 100 ml no pueden ser comercializados a menores de edad.  Por lo tanto, el jugo con 6 gramos de azúcar por 100 ml podría estar en conflicto con la normativa. Es importante revisar la normativa específica para kioscos escolares y consultar con las autoridades sanitarias para asegurar la legalidad de la venta.;3.47;Sí, un jugo envasado con 6 gramos de azúcar por cada 100 ml puede ser vendido en el kiosco escolar. El límite aceptado para los azúcares totales es de 22,5 g en 100 g (sólidos) y 6 g en 100 ml (líquidos).;7.94;03_guia_kioscos_saludables.txt (sim=0.7513), 03_guia_kioscos_saludables.txt (sim=0.7462), 03_guia_kioscos_saludables.txt (sim=0.7407), 03_guia_kioscos_saludables.txt (sim=0.7366);;
gemma-2-2b-it;Si un producto tiene solo UN sello 'ALTO EN' (por ejemplo solo azúcares), ¿igual está prohibida su venta en el colegio, o solo si tiene varios sellos?;"En Chile, la Ley 20.606 establece que los productos con un solo sello ""ALTO EN"" no están completamente prohibidos, pero sí se deben cumplir las restricciones de ese sello.  La normativa específica para kioscos escolares es compleja y depende del tipo de producto. Es importante consultar con el Ministerio de Salud o la autoridad sanitaria local para obtener información precisa.";3.12;"Según el fragmento 2, si un producto tiene solo un sello ""alto en"" (por ejemplo, solo azúcares), no se puede vender en el colegio.  (Fuente: 02_decreto13_rsa_sellos.txt)";4.59;01_ley_20606.txt (sim=0.7055), 02_decreto13_rsa_sellos.txt (sim=0.7011), 01_ley_20606.txt (sim=0.6972), 02_decreto13_rsa_sellos.txt (sim=0.6967);;
gemma-2-2b-it;¿Desde qué fecha rige la prohibición de vender alimentos con sellos 'ALTO EN' dentro de los establecimientos educacionales?;La prohibición de vender alimentos con sellos 'ALTO EN' dentro de los establecimientos educacionales se rige desde el **1 de enero de 2023**, según la Ley 20.606.  Esta normativa busca promover una alimentación saludable en las escuelas y prevenir el consumo excesivo de alimentos procesados.;2.81;La prohibición de vender alimentos con sellos 'ALTO EN' dentro de los establecimientos educacionales se rige desde el **presente decreto supremo del Ministerio de Salud**. (Fuente: 02_decreto13_rsa_sellos.txt);4.55;02_decreto13_rsa_sellos.txt (sim=0.7529), 02_decreto13_rsa_sellos.txt (sim=0.7439), 01_ley_20606.txt (sim=0.743), 02_decreto13_rsa_sellos.txt (sim=0.7423);;
gemma-2-2b-it;Vendo frutos secos a granel, sin envase individual, en el kiosco. ¿Igual deben llevar el sello 'ALTO EN' si superan los límites de grasas o azúcares?;"En Chile, la Ley 20.606 establece que los alimentos con alto contenido en grasas y azúcares deben llevar el sello ""ALTO EN"" cuando superen los límites establecidos.  Sin embargo, la normativa específica para frutos secos no está clara sobre este tema. Es importante consultar con la autoridad sanitaria local para obtener información precisa sobre las regulaciones aplicables a tu kiosco.";3.13;"No, los frutos secos a granel no necesitan el sello ""ALTO EN"" si se venden sin envase individual, ya que el Reglamento Sanitario de Alimentos establece que a partir de junio 2016, los alimentos que superen los límites establecidos de energía (calorías), azúcares, grasas saturadas y sodio no podrán ser vendidas ni promocionadas en los establecimientos educacionales.";5.06;03_guia_kioscos_saludables.txt (sim=0.721), 03_guia_kioscos_saludables.txt (sim=0.7179), 03_guia_kioscos_saludables.txt (sim=0.6914), 03_guia_kioscos_saludables.txt (sim=0.6902);;
gemma-2-2b-it;¿Un producto SIN sellos de advertencia puede tener dibujos animados o personajes infantiles en su empaque dentro del kiosco escolar?;No, un producto que no tiene sellos de advertencia según la Ley 20.606 debe cumplir con las normas de etiquetado establecidas por el Reglamento Sanitario de Alimentos.  Esto incluye evitar la inclusión de dibujos animados o personajes infantiles en el empaque, ya que estos elementos no son considerados parte del etiquetado legalmente permitido.;2.93;Según el fragmento 3, no se pueden promocionar alimentos que superen los límites establecidos por la Ley de Etiquetado de Alimentos (Ley 20.606) en los kioscos escolares ni en ningún lugar dentro de las escuelas.;5.99;02_decreto13_rsa_sellos.txt (sim=0.7553), 02_decreto13_rsa_sellos.txt (sim=0.742), 03_guia_kioscos_saludables.txt (sim=0.7416), 03_guia_kioscos_saludables.txt (sim=0.7323);;
gemma-2-2b-it;¿Cuál es la multa exacta que le aplican a un kiosco escolar por vender un producto con sello 'ALTO EN'?;"La Ley 20.606 establece multas por el incumplimiento del etiquetado de alimentos, pero no especifica una cantidad fija para el ""sello ALTO EN"".  El Reglamento Sanitario de los Alimentos define las sanciones a la venta de productos con etiquetas deficientes, pero no se detalla un monto específico para el ""sello ALTO EN"". | Es importante consultar con la autoridad sanitaria local (Ministerio de Salud) para obtener información precisa sobre las multas aplicables en tu caso.";3.8;"El fragmento proporcionado no contiene información sobre la multa por vender un producto con sello ""ALTO EN"".";5.45;03_guia_kioscos_saludables.txt (sim=0.708), 03_guia_kioscos_saludables.txt (sim=0.6983), 03_guia_kioscos_saludables.txt (sim=0.6919), 03_guia_kioscos_saludables.txt (sim=0.6889);;
gemma-2-2b-it;¿Qué institución elaboró la Guía de Kioscos y Colaciones Saludables que usan los colegios en Chile?;La Guía de Kioscos y Colaciones Saludables que usan los colegios en Chile fue elaborada por el **Ministerio de Educación** en colaboración con la **Secretaría de Salud**.  Esta guía busca orientar a los kiosqueros escolares en la elaboración de alimentos saludables.;2.5;La Guía de Kioscos y Colaciones Saludables fue elaborada por el **Ministerio de Salud de Chile**.  (Fuente: www.minsal.cl/wp-content/uploads/2016/05/GUIA-DE-KIOSCOS-SALUDABLES.pdf);6.6;03_guia_kioscos_saludables.txt (sim=0.7813), 03_guia_kioscos_saludables.txt (sim=0.7552), 03_guia_kioscos_saludables.txt (sim=0.7388), 03_guia_kioscos_saludables.txt (sim=0.7253);;
llama-3.2-3b-instruct;¿Cuál es el límite de sodio permitido en un alimento SÓLIDO para que no deba llevar el sello 'ALTO EN SODIO'?;Según la Ley 20.606, el límite de sodio permitido en alimentos sólidos es de 150 mg por 100 gramos de producto. Si un alimento sólido supera este límite, debe llevar el sello 'ALTO EN SODIO'.;6.1;El límite máximo aceptado de sodio por 100 g o ml del alimento es de 800 mg (sólidos) y 100 mg (líquidos).;7.98;03_guia_kioscos_saludables.txt (sim=0.7074), 03_guia_kioscos_saludables.txt (sim=0.6869), 03_guia_kioscos_saludables.txt (sim=0.6818), 02_decreto13_rsa_sellos.txt (sim=0.6783);;
llama-3.2-3b-instruct;Un jugo envasado tiene 6 gramos de azúcar por cada 100 ml. ¿Puedo venderlo en el kiosco escolar?;Para responder a esta pregunta, necesitaría verificar la información específica sobre el contenido de azúcar del jugo que mencionas. Sin embargo, puedo decirte que según la Ley de Etiquetado de Alimentos (Ley 20.606), los alimentos deben cumplir con ciertos estándares de etiquetado y composición. | En general, la ley establece que los alimentos deben tener un contenido máximo de azúcar en función del tipo de producto. Sin embargo, no tengo información específica sobre el contenido de azúcar que mencionas (6 gramos por 100 ml). Te recomiendo consultar la normativa específica o contactar con una autoridad sanitaria para obtener más información precisa.;4.26;No, según la normativa, si el valor de los azúcares de tu alimento es mayor al límite, ese alimento NO debe ser vendido en tu kiosco. En este caso, el jugo tiene 6 gramos de azúcar por cada 100 ml, lo que supera el límite de 6 g en 100 ml.;9.76;03_guia_kioscos_saludables.txt (sim=0.7513), 03_guia_kioscos_saludables.txt (sim=0.7462), 03_guia_kioscos_saludables.txt (sim=0.7407), 03_guia_kioscos_saludables.txt (sim=0.7366);;
